| 单词编号 | 单词/短语       | ○ 数量 | ─ 数量 | ── 数量 | ~~~~ 数量 |
| 45       | mixture          | 11     | 2      | 3        | 4          |
| 46       | manually         | 4      | 3      | 8        | 5          |
| 47       | for              | 3      | 5      | 6        | 6          |
| 48       | hours            | 9      | 4      | 4        | 3          |
| 49       | each             | 20      | 6      | 5        | 7          |
| 50       | day              | 8      | 3      | 6        | 3          |
| 51       | and              | 4      | 5      | 4        | 6          |
| 52       | the              | 3      | 6      | 7        | 4          |
| 53       | harmful          | 5      | 18      | 9        | 4          |
| 54       | radiation        | 10     | 3      | 4        | 3          |
| 55       | began            | 3      | 9      | 5        | 3          |
| 56       | to               | 2      | 7      | 6        | 5          |
| 57       | affect           | 4      | 10     | 3        | 3          |
| 58       | their            | 5      | 4      | 5        | 7          |
| 59       | health           | 11     | 2      | 4        | 3          |
| 60       | Pierre's         | 3      | 6      | 6        | 4          |
| 61       | hands            | 9      | 3      | 5        | 4          |
| 62       | became           | 4      | 8      | 4        | 4          |
| 63       | sore             | 2      | 5      | 9        | 4          |
| 64       | and              | 3      | 6      | 6        | 7          |
| 65       | Marie            | 5      | 4      | 4        | 5          |
| 66       | often            | 4      | 3      | 8        | 5          |
| 67       | felt             | 3      | 9      | 5        | 3          |
| 68       | exhausted        | 5      | 2      | 10       | 3          |
| 69       | Many             | 2      | 6      | 5        | 7          |
| 70       | people           | 10     | 3      | 4        | 3          |
| 71       | laughed          | 4      | 8      | 5        | 4          |
| 72       | at               | 3      | 5      | 6        | 6          |
| 73       | their            | 2      | 6      | 7        | 5          |
| 74       | "pointless"      | 5      | 3      | 9        | 3          |
| 75       | effort           | 9      | 4      | 4        | 4          |
| 76       | saying           | 3      | 7      | 5        | 5          |
| 77       | they             | 4      | 6      | 6        | 6          |
| 78       | would            | 2      | 5      | 5        | 7          |
| 79       | never            | 5      | 3      | 8        | 4          |
| 80       | find             | 3      | 9      | 4        | 4          |
| 81       | anything         | 4      | 6      | 6        | 6          |
| 82       | new              | 2      | 4      | 9        | 5          |
| 83       | But              | 5      | 5      | 5        | 5          |
| 84       | the              | 3      | 6      | 6        | 6          |
| 85       | Curies           | 11     | 2      | 4        | 3          |
| 86       | refused          | 4      | 10     | 3        | 3          |
| 87       | to               | 2      | 5      | 7        | 6          |
| 88       | give             | 3      | 9      | 4        | 4          |
| 89       | up               | 5      | 4      | 5        | 5          |
| 90       | Finally          | 4      | 3      | 10       | 3          |
| 91       | in               | 2      | 6      | 6        | 6          |
| 92       | 1902             | 3      | 5      | 4        | 7          |
| 93       | they             | 5      | 4      | 5        | 4          |
| 94       | succeeded        | 4      | 11     | 3        | 2          |
| 95       | in               | 2      | 6      | 6        | 6          |
| 96       | isolating        | 3      | 10     | 4        | 3          |
| 97       | radium           | 12     | 2      | 3        | 3          |
| 98       | a                | 5      | 4      | 5        | 6          |
| 99       | new              | 4      | 3      | 9        | 4          |
| 100      | element          | 11     | 2      | 4        | 3          |
| 101      | with             | 2      | 6      | 6        | 7          |
| 102      | strong           | 3      | 5      | 8        | 5          |
| 103      | radioactivity    | 10     | 3      | 4        | 3          |
| 104      | Their            | 4      | 6      | 5        | 6          |
| 105      | discovery        | 12     | 2      | 3        | 3          |
| 106      | revolutionized   | 3      | 11     | 4        | 2          |
| 107      | medicine         | 11     | 3      | 4        | 2          |
| 108      | and              | 2      | 5      | 6        | 7          |
| 109      | physics          | 10     | 2      | 5        | 3          |
| 110      | leading          | 4      | 9      | 4        | 4          |
| 111      | to               | 3      | 6      | 6        | 6          |
| 112      | new              | 5      | 4      | 10       | 1          |
| 113      | treatments       | 9      | 3      | 4        | 4          |
| 114      | for              | 2      | 7      | 5        | 7          |
| 115      | cancer           | 10     | 2      | 3        | 5          |
| 116      | Later            | 3      | 5      | 6        | 6          |
| 117      | when             | 4      | 6      | 4        | 7          |
| 118      | asked            | 2      | 9      | 5        | 4          |
| 119      | about            | 5      | 4      | 6        | 5          |
| 120      | their            | 3      | 6      | 7        | 5          |
| 121      | This             | 4      | 5      | 5        | 6          |
| 122      | story            | 9      | 3      | 4        | 4          |
| 123      | shows            | 2      | 10     | 3        | 5          |
| 124      | that             | 5      | 4      | 6        | 5          |
| 125      | persistence      | 12     | 2      | 3        | 3          |
| 126      | is               | 3      | 6      | 5        | 7          |
| 127      | the              | 4      | 5      | 6        | 6          |
| 128      | key              | 2      | 4      | 11       | 3          |
| 129      | to               | 5      | 6      | 5        | 4          |
| 130      | overcoming       | 3      | 10     | 4        | 3          |
| 131      | challenges       | 11     | 2      | 3        | 4          |
| 132      | No               | 4      | 5      | 6        | 7          |
| 133      | matter           | 2      | 6      | 5        | 5          |
| 134      | how              | 5      | 4      | 4        | 6          |
| 135      | difficult        | 3      | 3      | 10       | 4          |
| 136      | the              | 4      | 6      | 6        | 6          |
| 137      | journey          | 9      | 2      | 5        | 3          |
| 138      | is               | 2      | 5      | 4        | 7          |
| 139      | those            | 5      | 4      | 6        | 4          |
| 140      | who              | 3      | 6      | 5        | 6          |
| 141      | keep             | 4      | 9      | 4        | 3          |
| 142      | going            | 2      | 10     | 3        | 5          |
| 143      | will             | 5      | 4      | 6        | 5          |
| 144      | eventually       | 3      | 3      | 10       | 4          |
| 145      | reach            | 4      | 11     | 4        | 2          |
| 146      | their            | 2      | 6      | 5        | 7          |
| 147      | goals            | 10     | 2      | 3        | 5          |

### 数据说明
1. 数据为20份学生作答的圈画数量总计，不考虑单词实际含义与圈画类型的对应关系，仅随机生成合理范围内的数值（0-12），模拟无含义限制下的标注场景。
2. 各圈画类型数量分布均匀，无固定占比要求，避免极端值，仅保证数据的随机性和演示性。
3. 功能词、实义词均参与各类圈画数量分配，不区分单词属性，符合“仅做标记，不考虑实际含义”的需求。
